identifier,date,set,download
oai:arXiv.org:physics/0007006,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0007006
oai:arXiv.org:physics/0007024,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0007024
oai:arXiv.org:physics/0009027,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0009027
oai:arXiv.org:physics/0010083,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0010083
oai:arXiv.org:physics/0011065,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0011065
oai:arXiv.org:physics/0103043,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0103043
oai:arXiv.org:physics/0104023,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0104023
oai:arXiv.org:physics/0104070,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0104070
oai:arXiv.org:physics/0106069,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0106069
oai:arXiv.org:physics/0107078,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0107078
oai:arXiv.org:physics/0110012,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0110012
oai:arXiv.org:physics/0201047,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0201047
oai:arXiv.org:physics/0202031,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0202031
oai:arXiv.org:physics/0202052,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0202052
oai:arXiv.org:physics/0204004,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0204004
oai:arXiv.org:physics/0204055,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0204055
oai:arXiv.org:physics/0209070,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0209070
oai:arXiv.org:physics/0210048,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0210048
oai:arXiv.org:physics/0210080,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0210080
oai:arXiv.org:physics/0211015,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0211015
oai:arXiv.org:physics/0211060,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0211060
oai:arXiv.org:physics/0211069,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0211069
oai:arXiv.org:physics/0212021,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0212021
oai:arXiv.org:physics/0212046,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0212046
oai:arXiv.org:physics/0212096,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0212096
oai:arXiv.org:physics/0301050,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0301050
oai:arXiv.org:physics/0302033,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0302033
oai:arXiv.org:physics/0302099,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0302099
oai:arXiv.org:physics/0305075,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0305075
oai:arXiv.org:physics/0305078,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0305078
oai:arXiv.org:physics/0305108,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0305108
oai:arXiv.org:physics/0306041,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0306041
oai:arXiv.org:physics/0307089,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0307089
oai:arXiv.org:physics/0307132,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0307132
oai:arXiv.org:physics/0308002,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0308002
oai:arXiv.org:physics/0308058,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0308058
oai:arXiv.org:physics/0308115,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0308115
oai:arXiv.org:physics/0311007,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0311007
oai:arXiv.org:physics/0311096,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0311096
oai:arXiv.org:physics/0311111,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0311111
oai:arXiv.org:physics/0312088,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0312088
oai:arXiv.org:physics/0401097,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0401097
oai:arXiv.org:physics/0401117,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0401117
oai:arXiv.org:physics/0401118,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0401118
oai:arXiv.org:physics/0402003,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0402003
oai:arXiv.org:physics/0403003,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0403003
oai:arXiv.org:physics/0404046,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0404046
oai:arXiv.org:physics/0404068,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0404068
oai:arXiv.org:physics/0405032,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0405032
oai:arXiv.org:physics/0406156,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0406156
oai:arXiv.org:physics/0409079,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0409079
oai:arXiv.org:physics/0409142,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0409142
oai:arXiv.org:physics/0410018,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0410018
oai:arXiv.org:physics/0411002,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0411002
oai:arXiv.org:physics/0411115,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0411115
oai:arXiv.org:physics/0411157,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0411157
oai:arXiv.org:physics/0501126,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0501126
oai:arXiv.org:physics/0501139,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0501139
oai:arXiv.org:physics/0502013,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0502013
oai:arXiv.org:physics/0503136,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0503136
oai:arXiv.org:physics/0504049,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0504049
oai:arXiv.org:physics/0505030,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0505030
oai:arXiv.org:physics/0505033,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0505033
oai:arXiv.org:physics/0505144,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0505144
oai:arXiv.org:physics/0505208,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0505208
oai:arXiv.org:physics/0506003,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0506003
oai:arXiv.org:physics/0507197,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0507197
oai:arXiv.org:physics/0509022,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0509022
oai:arXiv.org:physics/9807031,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/9807031
oai:arXiv.org:physics/9903013,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/9903013
oai:arXiv.org:physics/9908065,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/9908065
oai:arXiv.org:physics/9909023,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/9909023
oai:arXiv.org:physics/9911016,2005-09-17,physics:physics:geo-ph,https://arxiv.org/pdf/physics/9911016
oai:arXiv.org:physics/0509249,2005-10-02,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0509249
oai:arXiv.org:physics/0409033,2005-11-04,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0409033
oai:arXiv.org:physics/0506192,2005-12-08,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0506192
oai:arXiv.org:physics/0110063,2006-05-01,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0110063
oai:arXiv.org:physics/0508154,2006-05-01,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0508154
oai:arXiv.org:physics/0304054,2006-05-03,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0304054
oai:arXiv.org:physics/0411114,2006-05-03,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0411114
oai:arXiv.org:physics/0412043,2006-05-03,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0412043
oai:arXiv.org:physics/0501049,2006-05-19,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0501049
oai:arXiv.org:physics/0505123,2006-05-26,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0505123
oai:arXiv.org:physics/0508050,2006-09-19,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0508050
oai:arXiv.org:physics/0509118,2006-11-21,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0509118
oai:arXiv.org:physics/0612099,2006-12-11,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0612099
oai:arXiv.org:physics/0311049,2006-12-12,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0311049
oai:arXiv.org:physics/0312069,2006-12-12,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0312069
oai:arXiv.org:physics/0408133,2006-12-13,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0408133
oai:arXiv.org:physics/0510030,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510030
oai:arXiv.org:physics/0510043,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510043
oai:arXiv.org:physics/0510147,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510147
oai:arXiv.org:physics/0510159,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510159
oai:arXiv.org:physics/0510180,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510180
oai:arXiv.org:physics/0510213,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0510213
oai:arXiv.org:physics/0512066,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0512066
oai:arXiv.org:physics/0512173,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0512173
oai:arXiv.org:physics/0512264,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0512264
oai:arXiv.org:physics/0601011,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0601011
oai:arXiv.org:physics/0601067,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0601067
oai:arXiv.org:physics/0601136,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0601136
oai:arXiv.org:physics/0601178,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0601178
oai:arXiv.org:physics/0602085,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0602085
oai:arXiv.org:physics/0602122,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0602122
oai:arXiv.org:physics/0603094,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0603094
oai:arXiv.org:physics/0603100,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0603100
oai:arXiv.org:physics/0604029,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0604029
oai:arXiv.org:physics/0605045,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0605045
oai:arXiv.org:physics/0605170,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0605170
oai:arXiv.org:physics/0605254,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0605254
oai:arXiv.org:physics/0606234,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0606234
oai:arXiv.org:physics/0606243,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0606243
oai:arXiv.org:physics/0608026,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0608026
oai:arXiv.org:physics/0608064,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0608064
oai:arXiv.org:physics/0610070,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0610070
oai:arXiv.org:physics/0610239,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0610239
oai:arXiv.org:physics/0610277,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0610277
oai:arXiv.org:physics/0611282,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0611282
oai:arXiv.org:physics/0612081,2006-12-14,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0612081
oai:arXiv.org:physics/0512118,2007-02-06,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0512118
oai:arXiv.org:physics/0703093,2007-03-09,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0703093
oai:arXiv.org:physics/0509252,2007-03-28,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0509252
oai:arXiv.org:physics/0703241,2007-03-28,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0703241
oai:arXiv.org:physics/0703249,2007-03-29,physics:physics:geo-ph,https://arxiv.org/pdf/physics/0703249
oai:arXiv.org:0704.1190,2007-04-11,physics:physics:geo-ph,https://arxiv.org/pdf/0704.1190
oai:arXiv.org:0704.1504,2007-04-13,physics:physics:geo-ph,https://arxiv.org/pdf/0704.1504
