identifier,date,download,doi,title,record,html
oai:EA:id:1679,2018-07-02T04:17:47Z,https://eartharxiv.org/repository/object/1679/download/3570/,https:doi.org/10.31223/osf.io/x6h4e,The Effect Of Clay Type On The Properties Of Cohesive Sediment Gravity Flows And Their Deposits,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1679,https://eartharxiv.org/repository/view/1679
oai:EA:id:1678,2018-07-02T04:17:47Z,https://eartharxiv.org/repository/object/1678/download/3569/,https:doi.org/10.31223/osf.io/kr3ge,Metrology and Traceability of U-Pb Isotope Dilution Geochronology (EARTHTIME Tracer Calibration Part I),https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1678,https://eartharxiv.org/repository/view/1678
oai:EA:id:1677,2018-07-02T04:17:47Z,https://eartharxiv.org/repository/object/1677/download/3565/,https:doi.org/10.31223/osf.io/7g4kq,Lake Baikal isotope records of Holocene Central Asian precipitation,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1677,https://eartharxiv.org/repository/view/1677
oai:EA:id:1676,2018-07-02T04:17:48Z,https://eartharxiv.org/repository/object/1676/download/3564/,https:doi.org/10.31223/osf.io/qt7dz,"An alternative review of facts, coincidences and past and future studies of the Lusi eruption",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1676,https://eartharxiv.org/repository/view/1676
oai:EA:id:1675,2019-05-10T12:00:28Z,https://eartharxiv.org/repository/object/1675/download/3563/,https:doi.org/10.31223/osf.io/xmj2w,The stratigraphic record and processes of turbidity current transformation across deep-marine lobes,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1675,https://eartharxiv.org/repository/view/1675
oai:EA:id:1674,2018-07-02T04:17:49Z,https://eartharxiv.org/repository/object/1674/download/3562/,https:doi.org/10.31223/osf.io/wvs9r,Modelling silicon supply during the Last Interglacial (MIS 5e) at Lake Baikal,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1674,https://eartharxiv.org/repository/view/1674
oai:EA:id:1673,2019-03-15T12:36:29Z,https://eartharxiv.org/repository/object/1673/download/3557/,https:doi.org/10.31223/osf.io/adw6s,"Cenozoic contourites in the eastern Great Australian Bight, offshore southern Australia: implications for the onset of the Leeuwin Current",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1673,https://eartharxiv.org/repository/view/1673
oai:EA:id:1672,2018-07-02T04:17:49Z,https://eartharxiv.org/repository/object/1672/download/3556/,https:doi.org/10.31223/osf.io/hb2r4,"Turbulence, displacement, death and worms: a day in the life of a fluvial Carboniferous bivalve",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1672,https://eartharxiv.org/repository/view/1672
oai:EA:id:1671,2018-07-02T04:17:49Z,https://eartharxiv.org/repository/object/1671/download/3555/,https:doi.org/10.31223/osf.io/5k3er,"Seismicity Induced by Longwall Coal Mining at the Thoresby Colliery, Nottinghamshire, U.K.",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1671,https://eartharxiv.org/repository/view/1671
oai:EA:id:1670,2018-07-02T04:17:51Z,https://eartharxiv.org/repository/object/1670/download/3554/,https:doi.org/10.31223/osf.io/xhe5r,Tempo of magma degassing and the genesis of porphyry copper deposits,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1670,https://eartharxiv.org/repository/view/1670
oai:EA:id:1669,2018-07-02T04:17:51Z,https://eartharxiv.org/repository/object/1669/download/3553/,https:doi.org/10.31223/osf.io/w6qvx,"Pre-Cadomian to late-Variscan odyssey of the eastern Massif Central, France: Formation of the West European crust in a nutshell",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1669,https://eartharxiv.org/repository/view/1669
oai:EA:id:1668,2018-07-02T04:17:51Z,https://eartharxiv.org/repository/object/1668/download/3552/,https:doi.org/10.31223/osf.io/6pk4y,"Multidisciplinary Investigations at P.O.W. Camp 198, Bridgend, Wales: Site of a Mass Escape in March 1945.",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1668,https://eartharxiv.org/repository/view/1668
oai:EA:id:1667,2018-07-02T04:17:52Z,https://eartharxiv.org/repository/object/1667/download/3551/,https:doi.org/10.31223/osf.io/k6g2e,Rift zone-parallel extension during segmented fault growth: application to the evolution of the NE Atlantic,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1667,https://eartharxiv.org/repository/view/1667
oai:EA:id:1666,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1666/download/3550/,https:doi.org/10.31223/osf.io/ge27p,Distal turbidites reveal a common distribution for large (&gt;0.1 km3) submarine landslide recurrence,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1666,https://eartharxiv.org/repository/view/1666
oai:EA:id:1665,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1665/download/3548/,https:doi.org/10.31223/osf.io/m3gkj,Direct monitoring of active geohazards: emerging geophysical tools for deep-water assessments,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1665,https://eartharxiv.org/repository/view/1665
oai:EA:id:1664,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1664/download/3547/,https:doi.org/10.31223/osf.io/uztng,2-D numerical study of hydrated wedge dynamics from subduction to post-collisional phases,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1664,https://eartharxiv.org/repository/view/1664
oai:EA:id:1663,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1663/download/3546/,https:doi.org/10.31223/osf.io/t59c7,Morphological expressions of crater infill collapse: model simulations of Chaotic Terrains on Mars,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1663,https://eartharxiv.org/repository/view/1663
oai:EA:id:1662,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1662/download/3545/,https:doi.org/10.31223/osf.io/sp2uz,Thermo-mechanical numerical model of the transition from continental rifting to oceanic spreading: the case study of the Alpine Tethys,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1662,https://eartharxiv.org/repository/view/1662
oai:EA:id:1661,2018-07-02T04:17:53Z,https://eartharxiv.org/repository/object/1661/download/3544/,https:doi.org/10.31223/osf.io/uvqs6,Preconditioning and triggering of offshore slope failures and turbidity currents revealed by most detailed monitoring yet at a fjord-head delta,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1661,https://eartharxiv.org/repository/view/1661
oai:EA:id:1660,2018-07-02T04:19:41Z,https://eartharxiv.org/repository/object/1660/download/3543/,https:doi.org/10.31223/osf.io/7mcnx,A type D breakdown of the Navier Stokes equation in d=3 spatial dimensions,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1660,https://eartharxiv.org/repository/view/1660
oai:EA:id:1659,2018-07-02T04:19:41Z,https://eartharxiv.org/repository/object/1659/download/3542/,https:doi.org/10.31223/osf.io/3cqfn,The prognostic equation for biogeochemical tracers has no unique solution.,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1659,https://eartharxiv.org/repository/view/1659
oai:EA:id:1658,2018-08-14T07:53:32Z,https://eartharxiv.org/repository/object/1658/download/3540/,https:doi.org/10.31223/osf.io/atqxg,Continuous separation of land use and climate effects on the past and future water balance,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1658,https://eartharxiv.org/repository/view/1658
oai:EA:id:1657,2018-07-02T04:19:41Z,https://eartharxiv.org/repository/object/1657/download/3539/,https:doi.org/10.31223/osf.io/mbcav,Preprint: Tremor migration patterns and the collective behavior of deep asperities mediated by creep,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1657,https://eartharxiv.org/repository/view/1657
oai:EA:id:1656,2018-07-02T04:19:41Z,https://eartharxiv.org/repository/object/1656/download/3538/,https:doi.org/10.31223/osf.io/c58a3,The role of microbes in snowmelt and radiative forcing on an Alaskan icefield,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1656,https://eartharxiv.org/repository/view/1656
oai:EA:id:1655,2018-07-02T04:19:42Z,https://eartharxiv.org/repository/object/1655/download/3537/,https:doi.org/10.31223/osf.io/rhcws,Balancing sub- and supra-salt strain in salt-influenced rifts: Implications for extension estimates,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1655,https://eartharxiv.org/repository/view/1655
oai:EA:id:1654,2018-07-02T04:19:42Z,https://eartharxiv.org/repository/object/1654/download/3536/,https:doi.org/10.31223/osf.io/56r73,Pre-existing normal faults have limited control on the rift geometry of the northern North Sea,https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1654,https://eartharxiv.org/repository/view/1654
oai:EA:id:1652,2018-07-02T04:19:42Z,https://eartharxiv.org/repository/object/1652/download/3534/,https:doi.org/10.31223/osf.io/d6yvx,"Influence of fault reactivation during multiphase rifting: the Oseberg area, Northern North Sea rift",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1652,https://eartharxiv.org/repository/view/1652
oai:EA:id:1653,2018-07-02T04:19:42Z,https://eartharxiv.org/repository/object/1653/download/3535/,https:doi.org/10.31223/osf.io/f2ehc,"Igneous sills record far-field and near-field stress interactions during volcano construction: Isle of Mull, Scotland",https://eartharxiv.org/api/oai?verb=GetRecord&identifier=oai:EA:id:1653,https://eartharxiv.org/repository/view/1653
