identifier,date,set,download
oai:ojs.crae.mcgill.ca:article/161,2021-08-31T18:52:28Z,seis:ART,
oai:ojs.crae.mcgill.ca:article/195,2022-12-19T12:33:59Z,seis:ART,https://seismica.library.mcgill.ca/article/download/195/286
oai:ojs.crae.mcgill.ca:article/196,2022-12-19T12:33:59Z,seis:ART,https://seismica.library.mcgill.ca/article/download/196/245
oai:ojs.crae.mcgill.ca:article/197,2023-06-02T20:54:57Z,seis:ART,https://seismica.library.mcgill.ca/article/download/197/239
oai:ojs.crae.mcgill.ca:article/201,2022-12-19T12:33:59Z,seis:ART,https://seismica.library.mcgill.ca/article/download/201/300
oai:ojs.crae.mcgill.ca:article/208,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/208/306
oai:ojs.crae.mcgill.ca:article/212,2023-07-03T14:59:34Z,seis:ART,https://seismica.library.mcgill.ca/article/download/212/1041
oai:ojs.crae.mcgill.ca:article/213,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/213/502
oai:ojs.crae.mcgill.ca:article/217,2022-12-19T12:33:59Z,seis:FR,https://seismica.library.mcgill.ca/article/download/217/280
oai:ojs.crae.mcgill.ca:article/220,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/220/389
oai:ojs.crae.mcgill.ca:article/239,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/239/405
oai:ojs.crae.mcgill.ca:article/240,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/240/924
oai:ojs.crae.mcgill.ca:article/241,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/241/487
oai:ojs.crae.mcgill.ca:article/242,2024-01-02T15:20:49Z,seis:Opinion,https://seismica.library.mcgill.ca/article/download/242/1120
oai:ojs.crae.mcgill.ca:article/245,2023-06-08T21:52:03Z,seis:reports,https://seismica.library.mcgill.ca/article/download/245/341
oai:ojs.crae.mcgill.ca:article/246,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/246/1008
oai:ojs.crae.mcgill.ca:article/247,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/247/1118
oai:ojs.crae.mcgill.ca:article/252,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/252/1062
oai:ojs.crae.mcgill.ca:article/253,2022-12-19T12:33:59Z,seis:FR,https://seismica.library.mcgill.ca/article/download/253/270
oai:ojs.crae.mcgill.ca:article/255,2023-03-07T14:14:00Z,seis:Editorials,https://seismica.library.mcgill.ca/article/download/255/284
oai:ojs.crae.mcgill.ca:article/272,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/272/1127
oai:ojs.crae.mcgill.ca:article/278,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/278/1039
oai:ojs.crae.mcgill.ca:article/282,2023-06-08T21:52:03Z,seis:ART,https://seismica.library.mcgill.ca/article/download/282/560
oai:ojs.crae.mcgill.ca:article/285,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/285/1171
oai:ojs.crae.mcgill.ca:article/324,2023-06-15T03:57:01Z,seis:ART,https://seismica.library.mcgill.ca/article/download/324/1084
oai:ojs.crae.mcgill.ca:article/367,2025-01-24T18:23:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/367/1250
oai:ojs.crae.mcgill.ca:article/368,2023-10-26T19:31:11Z,seis:reports,https://seismica.library.mcgill.ca/article/download/368/866
oai:ojs.crae.mcgill.ca:article/384,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/384/1137
oai:ojs.crae.mcgill.ca:article/385,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/385/1116
oai:ojs.crae.mcgill.ca:article/386,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/386/1248
oai:ojs.crae.mcgill.ca:article/387,2023-07-03T15:54:17Z,seis:FR,https://seismica.library.mcgill.ca/article/download/387/521
oai:ojs.crae.mcgill.ca:article/388,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/388/1233
oai:ojs.crae.mcgill.ca:article/389,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/389/1134
oai:ojs.crae.mcgill.ca:article/402,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/402/1207
oai:ojs.crae.mcgill.ca:article/470,2024-01-02T15:20:49Z,seis:Opinion,https://seismica.library.mcgill.ca/article/download/470/1110
oai:ojs.crae.mcgill.ca:article/498,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/498/1217
oai:ojs.crae.mcgill.ca:article/499,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/499/1174
oai:ojs.crae.mcgill.ca:article/502,2023-07-13T12:12:37Z,seis:FR,https://seismica.library.mcgill.ca/article/download/502/864
oai:ojs.crae.mcgill.ca:article/527,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/527/1113
oai:ojs.crae.mcgill.ca:article/528,2023-06-08T21:52:03Z,seis:FR,https://seismica.library.mcgill.ca/article/download/528/928
oai:ojs.crae.mcgill.ca:article/624,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/624/1258
oai:ojs.crae.mcgill.ca:article/691,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/691/1219
oai:ojs.crae.mcgill.ca:article/692,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/692/1245
oai:ojs.crae.mcgill.ca:article/729,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/729/1422
oai:ojs.crae.mcgill.ca:article/849,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/849/1180
oai:ojs.crae.mcgill.ca:article/887,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/887/1449
oai:ojs.crae.mcgill.ca:article/953,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/953/1211
oai:ojs.crae.mcgill.ca:article/978,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/978/1169
oai:ojs.crae.mcgill.ca:article/979,2024-01-02T15:20:49Z,seis:reports,https://seismica.library.mcgill.ca/article/download/979/1130
oai:ojs.crae.mcgill.ca:article/980,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/980/1481
oai:ojs.crae.mcgill.ca:article/981,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/981/1240
oai:ojs.crae.mcgill.ca:article/1007,2024-07-08T08:04:28Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1007/1257
oai:ojs.crae.mcgill.ca:article/1009,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1009/1467
oai:ojs.crae.mcgill.ca:article/1011,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1011/1205
oai:ojs.crae.mcgill.ca:article/1012,2023-09-28T17:35:55Z,seis:Opinion,https://seismica.library.mcgill.ca/article/download/1012/1159
oai:ojs.crae.mcgill.ca:article/1030,2024-02-23T13:03:07Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1030/1189
oai:ojs.crae.mcgill.ca:article/1031,2024-01-02T15:20:49Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1031/1194
oai:ojs.crae.mcgill.ca:article/1032,2023-07-24T15:57:03Z,seis:FR,https://seismica.library.mcgill.ca/article/download/1032/1106
oai:ojs.crae.mcgill.ca:article/1033,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1033/1225
oai:ojs.crae.mcgill.ca:article/1049,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1049/1462
oai:ojs.crae.mcgill.ca:article/1051,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1051/1156
oai:ojs.crae.mcgill.ca:article/1082,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1082/1229
oai:ojs.crae.mcgill.ca:article/1083,2023-11-14T12:16:30Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1083/1221
oai:ojs.crae.mcgill.ca:article/1084,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1084/1270
oai:ojs.crae.mcgill.ca:article/1086,2024-01-02T15:20:49Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1086/1183
oai:ojs.crae.mcgill.ca:article/1091,2024-01-02T15:20:49Z,seis:Editorials,https://seismica.library.mcgill.ca/article/download/1091/1166
oai:ojs.crae.mcgill.ca:article/1092,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1092/1485
oai:ojs.crae.mcgill.ca:article/1094,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1094/1594
oai:ojs.crae.mcgill.ca:article/1097,2024-06-07T09:55:32Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1097/1477
oai:ojs.crae.mcgill.ca:article/1098,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1098/1459
oai:ojs.crae.mcgill.ca:article/1099,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1099/1274
oai:ojs.crae.mcgill.ca:article/1101,2025-04-30T08:46:09Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1101/1918
oai:ojs.crae.mcgill.ca:article/1102,2024-09-11T13:49:24Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1102/1632
oai:ojs.crae.mcgill.ca:article/1119,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1119/1307
oai:ojs.crae.mcgill.ca:article/1124,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1124/1368
oai:ojs.crae.mcgill.ca:article/1125,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1125/1553
oai:ojs.crae.mcgill.ca:article/1128,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1128/1410
oai:ojs.crae.mcgill.ca:article/1130,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1130/1267
oai:ojs.crae.mcgill.ca:article/1134,2024-10-18T15:47:49Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1134/1681
oai:ojs.crae.mcgill.ca:article/1135,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1135/1302
oai:ojs.crae.mcgill.ca:article/1142,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1142/1428
oai:ojs.crae.mcgill.ca:article/1143,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1143/1470
oai:ojs.crae.mcgill.ca:article/1144,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1144/1349
oai:ojs.crae.mcgill.ca:article/1145,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1145/1447
oai:ojs.crae.mcgill.ca:article/1146,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1146/1703
oai:ojs.crae.mcgill.ca:article/1148,2025-02-28T13:25:39Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1148/1827
oai:ojs.crae.mcgill.ca:article/1150,2025-06-07T15:10:20Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1150/1772
oai:ojs.crae.mcgill.ca:article/1151,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1151/1691
oai:ojs.crae.mcgill.ca:article/1152,2025-04-18T19:06:30Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1152/1786
oai:ojs.crae.mcgill.ca:article/1153,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1153/1640
oai:ojs.crae.mcgill.ca:article/1154,2024-07-05T13:49:44Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1154/1401
oai:ojs.crae.mcgill.ca:article/1155,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1155/1590
oai:ojs.crae.mcgill.ca:article/1157,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1157/1406
oai:ojs.crae.mcgill.ca:article/1158,2025-04-18T19:04:47Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1158/1425
oai:ojs.crae.mcgill.ca:article/1160,2024-01-02T15:20:49Z,seis:FR,https://seismica.library.mcgill.ca/article/download/1160/1238
oai:ojs.crae.mcgill.ca:article/1164,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1164/1492
oai:ojs.crae.mcgill.ca:article/1165,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1165/1566
oai:ojs.crae.mcgill.ca:article/1166,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1166/1487
oai:ojs.crae.mcgill.ca:article/1177,2024-07-03T06:56:08Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1177/1500
oai:ojs.crae.mcgill.ca:article/1179,2024-12-30T10:47:52Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1179/1567
oai:ojs.crae.mcgill.ca:article/1184,2024-12-30T10:47:52Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1184/1580
oai:ojs.crae.mcgill.ca:article/1185,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1185/1456
oai:ojs.crae.mcgill.ca:article/1186,2024-07-25T08:55:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1186/1474
oai:ojs.crae.mcgill.ca:article/1190,2024-07-05T13:49:44Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1190/1463
oai:ojs.crae.mcgill.ca:article/1202,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1202/1547
oai:ojs.crae.mcgill.ca:article/1203,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1203/1578
oai:ojs.crae.mcgill.ca:article/1204,2025-03-03T19:21:20Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1204/1780
oai:ojs.crae.mcgill.ca:article/1205,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1205/1743
oai:ojs.crae.mcgill.ca:article/1206,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1206/1562
oai:ojs.crae.mcgill.ca:article/1214,2025-05-07T07:10:22Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1214/1946
oai:ojs.crae.mcgill.ca:article/1238,2025-03-28T22:52:38Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1238/1890
oai:ojs.crae.mcgill.ca:article/1282,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1282/1724
oai:ojs.crae.mcgill.ca:article/1283,2025-02-21T08:39:53Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1283/1814
oai:ojs.crae.mcgill.ca:article/1285,2025-01-09T18:35:48Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1285/1768
oai:ojs.crae.mcgill.ca:article/1310,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1310/1709
oai:ojs.crae.mcgill.ca:article/1311,2024-09-17T18:35:23Z,seis:cascadia,https://seismica.library.mcgill.ca/article/download/1311/1600
oai:ojs.crae.mcgill.ca:article/1312,2024-10-21T16:58:33Z,seis:2023-T%C3%BCrkiye,https://seismica.library.mcgill.ca/article/download/1312/1684
oai:ojs.crae.mcgill.ca:article/1336,2025-02-12T21:20:26Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1336/1804
oai:ojs.crae.mcgill.ca:article/1337,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1337/1667
oai:ojs.crae.mcgill.ca:article/1339,2024-12-30T10:47:52Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1339/1609
oai:ojs.crae.mcgill.ca:article/1340,2025-02-25T14:22:51Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1340/1805
oai:ojs.crae.mcgill.ca:article/1341,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1341/1700
oai:ojs.crae.mcgill.ca:article/1343,2024-12-30T10:47:52Z,seis:reports,https://seismica.library.mcgill.ca/article/download/1343/1716
oai:ojs.crae.mcgill.ca:article/1344,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1344/1675
oai:ojs.crae.mcgill.ca:article/1345,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1345/1678
oai:ojs.crae.mcgill.ca:article/1347,2025-06-12T19:53:08Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1347/2077
oai:ojs.crae.mcgill.ca:article/1351,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1351/1622
oai:ojs.crae.mcgill.ca:article/1354,2024-12-30T10:47:52Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1354/1603
oai:ojs.crae.mcgill.ca:article/1371,2025-04-24T18:48:25Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1371/1920
oai:ojs.crae.mcgill.ca:article/1373,2025-04-09T13:44:57Z,seis:ART,https://seismica.library.mcgill.ca/article/download/1373/1904
