identifier,download,doi,title
10.1785/0320210005,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/1/5269494/tsr-2021005.1.pdf,https://doi.org/10.1785/0320210005,"Introducing The Seismic Record—A New, Open‐Access Journal from the Seismological Society of America"
10.1785/0320210002,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/3/5272331/tsr-2021002.1.pdf,https://doi.org/10.1785/0320210002,Source Separation and Medium Change of Contained Chemical Explosions from Coda Wave Interferometry
10.1785/0320210001,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/11/5300233/tsr-2021001.1.pdf,https://doi.org/10.1785/0320210001,Machine‐Learning‐Based High‐Resolution Earthquake Catalog Reveals How Complex Fault Structures Were Activated during the 2016–2017 Central Italy Sequence
10.1785/0320210010,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/27/5306550/tsr-2021010.1.pdf,https://doi.org/10.1785/0320210010,"Raspberry Shake Instruments Provide Initial Ground‐Motion Assessment of the Induced Seismicity at the United Downs Deep Geothermal Power Project in Cornwall, United Kingdom"
10.1785/0320210007,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/20/5306541/tsr-2021007.1.pdf,https://doi.org/10.1785/0320210007,Small Local Earthquake Detection Using Low‐Cost MEMS Accelerometers: Examples in Northern and Central Italy
10.1785/0320210009,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/35/5323556/tsr-2021009.1.pdf,https://doi.org/10.1785/0320210009,"A Broad, Distributed Active Fault Zone Lies beneath Salt Lake City, Utah"
10.1785/0320210016,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/56/5351563/tsr-2021016.1.pdf,https://doi.org/10.1785/0320210016,Subsurface Characterization of the Quaternary Active Cheraw Fault in Southeastern Colorado Based on Seismic Imaging
10.1785/0320210008,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/1/46/5351555/tsr-2021008.1.pdf,https://doi.org/10.1785/0320210008,Seismic Noise Recorded by Telecommunication Fiber Optics Reveals the Impact of COVID‐19 Measures on Human Activity
10.1785/0320210015,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/66/5356744/tsr-2021015.1.pdf,https://doi.org/10.1785/0320210015,Laboratory Evidence of Transient Pressure Surge in a Fluid‐Filled Fracture as a Potential Driver of Remote Dynamic Earthquake Triggering
10.1785/0320210012,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/75/5357150/tsr-2021012.1.pdf,https://doi.org/10.1785/0320210012,"Paleotsunamis on the Southern Hikurangi Subduction Zone, New Zealand, Show Regular Recurrence of Large Subduction Earthquakes"
10.1785/0320210021,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/85/5363987/tsr-2021021.1.pdf,https://doi.org/10.1785/0320210021,The Western Gulf of Corinth (Greece) 2020–2021 Seismic Crisis and Cascading Events: First Results from the Corinth Rift Laboratory Network
10.1785/0320210020,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/96/5375771/tsr-2021020.1.pdf,https://doi.org/10.1785/0320210020,Stability of the Fault Systems That Host‐Induced Earthquakes in the Delaware Basin of West Texas and Southeast New Mexico
10.1785/0320210022,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/107/5389510/tsr-2021022.1.pdf,https://doi.org/10.1785/0320210022,"Joint Regional Waveform, First‐Motion Polarity, and Surface Displacement Moment Tensor Inversion of the 3 September 2017 North Korean Nuclear Test"
10.1785/0320210017,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/2/117/6168557/tsr-2021017.1.pdf,https://doi.org/10.1785/0320210017,Improvements to the Third Uniform California Earthquake Rupture Forecast ETAS Model (UCERF3‐ETAS)
10.1785/0320210026,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/126/5455773/tsr-2021026.1.pdf,https://doi.org/10.1785/0320210026,Seismic Wave Propagation and Inversion with Neural Operators
10.1785/0320210031,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/135/5469517/tsr-2021031.1.pdf,https://doi.org/10.1785/0320210031,Precise Locating of the Great 1897 Shillong Plateau Earthquake Using Teleseismic and Regional Seismic Phase Data
10.1785/0320210032,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/145/5478305/tsr-2021032.1.pdf,https://doi.org/10.1785/0320210032,"Seismic Constraint on Heterogeneous Deformation and Stress State in the Forearc of the Hikurangi Subduction Zone, New Zealand"
10.1785/0320210035,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/154/6168421/tsr-2021035.1.pdf,https://doi.org/10.1785/0320210035,Shallow Megathrust Rupture during the 10 February 2021 Mw 7.7 Southeast Loyalty Islands Earthquake Sequence
10.1785/0320210034,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/1/3/164/5494466/tsr-2021034.1.pdf,https://doi.org/10.1785/0320210034,Bolide Energetics and Infrasound Propagation: Exploring the 18 December 2018 Bering Sea Event to Identify Limitations of Empirical and Numerical Models
10.1785/0320210041,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/1/5504794/tsr-2021041.1.pdf,https://doi.org/10.1785/0320210041,A Detailed Earthquake Catalog for Banda Arc–Australian Plate Collision Zone Using Machine‐Learning Phase Picker and an Automated Workflow
10.1785/0320210045,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/11/5515075/tsr-2021045.1.pdf,https://doi.org/10.1785/0320210045,Direct Estimation of Explosion Pn Green’s Functions Applied to Teleseismic P‐wave Intercorrelations for North Korean Nuclear Tests
10.1785/0320210043,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/20/5518682/tsr-2021043.1.pdf,https://doi.org/10.1785/0320210043,"Kinematic Slip Model of the 2021 M 6.0 Antelope Valley, California, Earthquake"
10.1785/0320210048,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/29/5519513/tsr-2021048.1.pdf,https://doi.org/10.1785/0320210048,On the Depth of Earthquakes in the Delaware Basin: A Case Study along the Reeves–Pecos County Line
10.1785/0320210036,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/38/5520115/tsr-2021036.1.pdf,https://doi.org/10.1785/0320210036,Detecting Elevated Pore Pressure due to Wastewater Injection Using Ambient Noise Monitoring
10.1785/0320210040,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/50/5553691/tsr-2021040.1.pdf,https://doi.org/10.1785/0320210040,General Seismic Architecture of the Southern San Andreas Fault Zone around the Thousand Palms Oasis from a Large‐N Nodal Array
10.1785/0320210044,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/1/59/5575733/tsr-2021044.1.pdf,https://doi.org/10.1785/0320210044,Surface Rupture on a Secondary Fault Associated with the 8 August 2020 Mw 5.1 Sparta North Carolina Earthquake
10.1785/0320220003,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/68/5581213/tsr-2022003.1.pdf,https://doi.org/10.1785/0320220003,"Stress Drop Variations of Induced Earthquakes near the Dallas–Fort Worth Airport, Texas"
10.1785/0320220008,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/78/5584856/tsr-2022008.1.pdf,https://doi.org/10.1785/0320220008,Improved Resolution across the Global Seismographic Network: A New Era in Low‐Frequency Seismology
10.1785/0320220007,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/88/5592848/tsr-2022007.1.pdf,https://doi.org/10.1785/0320220007,The Far Side of Mars: Two Distant Marsquakes Detected by InSight
10.1785/0320220005,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/100/5598628/tsr-2022005.1.pdf,https://doi.org/10.1785/0320220005,Aftershocks Preferentially Occur in Previously Active Areas
10.1785/0320220012,https://pubs.geoscienceworld.org/ssa/tsr/article-pdf/2/2/107/5607259/tsr-2022012.1.pdf,https://doi.org/10.1785/0320220012,"The 14 December 2021 Mw 4.9 Offshore Jeju Island, Korea, Earthquake: Seismological Observation of an Intraplate Earthquake Provides Insight into Regional Seismotectonics"
